surveyTargetID,surveyID,surveyTargetType,surveyTargetValue,includeOrExclude,isSurveyTargetFullyReported
P61.1A_taxon,P61.1A,taxon,Insecta,include,True
P61.1B_taxon,P61.1B,taxon,Insecta,include,True
P61.2A_taxon,P61.2A,taxon,Insecta,include,True
P61.2B_taxon,P61.2B,taxon,Insecta,include,True
P63.1A_taxon,P63.1A,taxon,Insecta,include,True
P63.1B_taxon,P63.1B,taxon,Insecta,include,True
P63.2A_taxon,P63.2A,taxon,Insecta,include,True
P63.2B_taxon,P63.2B,taxon,Insecta,include,True
P281.1A_taxon,P281.1A,taxon,Insecta,include,True
P281.1B_taxon,P281.1B,taxon,Insecta,include,True
P64.1A_taxon,P64.1A,taxon,Insecta,include,True
P64.1B_taxon,P64.1B,taxon,Insecta,include,True
P64.2A_taxon,P64.2A,taxon,Insecta,include,True
P64.2B_taxon,P64.2B,taxon,Insecta,include,True
P280.1A_taxon,P280.1A,taxon,Insecta,include,True
P280.1B_taxon,P280.1B,taxon,Insecta,include,True
P65.1A_taxon,P65.1A,taxon,Insecta,include,True
P65.1B_taxon,P65.1B,taxon,Insecta,include,True
P280.2A_taxon,P280.2A,taxon,Insecta,include,True
P280.2B_taxon,P280.2B,taxon,Insecta,include,True
P65.2A_taxon,P65.2A,taxon,Insecta,include,True
P65.2B_taxon,P65.2B,taxon,Insecta,include,True
P281.2A_taxon,P281.2A,taxon,Insecta,include,True
P281.2B_taxon,P281.2B,taxon,Insecta,include,True
P66.1A_taxon,P66.1A,taxon,Insecta,include,True
P66.1B_taxon,P66.1B,taxon,Insecta,include,True
P66.2A_taxon,P66.2A,taxon,Insecta,include,True
P66.2B_taxon,P66.2B,taxon,Insecta,include,True
P340.1A_taxon,P340.1A,taxon,Insecta,include,True
P340.1B_taxon,P340.1B,taxon,Insecta,include,True
P67.1A_taxon,P67.1A,taxon,Insecta,include,True
P67.1B_taxon,P67.1B,taxon,Insecta,include,True
P67.2A_taxon,P67.2A,taxon,Insecta,include,True
P67.2B_taxon,P67.2B,taxon,Insecta,include,True
P68.1A_taxon,P68.1A,taxon,Insecta,include,True
P68.1B_taxon,P68.1B,taxon,Insecta,include,True
P68.2A_taxon,P68.2A,taxon,Insecta,include,True
P68.2B_taxon,P68.2B,taxon,Insecta,include,True
P323.2A_taxon,P323.2A,taxon,Insecta,include,True
P323.2B_taxon,P323.2B,taxon,Insecta,include,True
P69.1A_taxon,P69.1A,taxon,Insecta,include,True
P69.1B_taxon,P69.1B,taxon,Insecta,include,True
P268.1A_taxon,P268.1A,taxon,Insecta,include,True
P268.1B_taxon,P268.1B,taxon,Insecta,include,True
P69.2A_taxon,P69.2A,taxon,Insecta,include,True
P69.2B_taxon,P69.2B,taxon,Insecta,include,True
P272.1A_taxon,P272.1A,taxon,Insecta,include,True
P272.1B_taxon,P272.1B,taxon,Insecta,include,True
P70.2A_taxon,P70.2A,taxon,Insecta,include,True
P70.2B_taxon,P70.2B,taxon,Insecta,include,True
P328.1A_taxon,P328.1A,taxon,Insecta,include,True
P328.1B_taxon,P328.1B,taxon,Insecta,include,True
P72.1A_taxon,P72.1A,taxon,Insecta,include,True
P72.1B_taxon,P72.1B,taxon,Insecta,include,True
P328.2A_taxon,P328.2A,taxon,Insecta,include,True
P328.2B_taxon,P328.2B,taxon,Insecta,include,True
P72.2A_taxon,P72.2A,taxon,Insecta,include,True
P72.2B_taxon,P72.2B,taxon,Insecta,include,True
P73.1A_taxon,P73.1A,taxon,Insecta,include,True
P73.1B_taxon,P73.1B,taxon,Insecta,include,True
P73.2A_taxon,P73.2A,taxon,Insecta,include,True
P73.2B_taxon,P73.2B,taxon,Insecta,include,True
P282.1A_taxon,P282.1A,taxon,Insecta,include,True
P282.1B_taxon,P282.1B,taxon,Insecta,include,True
P74.1A_taxon,P74.1A,taxon,Insecta,include,True
P74.1B_taxon,P74.1B,taxon,Insecta,include,True
P282.2A_taxon,P282.2A,taxon,Insecta,include,True
P282.2B_taxon,P282.2B,taxon,Insecta,include,True
P74.2A_taxon,P74.2A,taxon,Insecta,include,True
P74.2B_taxon,P74.2B,taxon,Insecta,include,True
P289.1A_taxon,P289.1A,taxon,Insecta,include,True
P289.1B_taxon,P289.1B,taxon,Insecta,include,True
P76.1A_taxon,P76.1A,taxon,Insecta,include,True
P76.1B_taxon,P76.1B,taxon,Insecta,include,True
P289.2A_taxon,P289.2A,taxon,Insecta,include,True
P289.2B_taxon,P289.2B,taxon,Insecta,include,True
P76.2A_taxon,P76.2A,taxon,Insecta,include,True
P76.2B_taxon,P76.2B,taxon,Insecta,include,True
P77.1A_taxon,P77.1A,taxon,Insecta,include,True
P77.1B_taxon,P77.1B,taxon,Insecta,include,True
P77.2A_taxon,P77.2A,taxon,Insecta,include,True
P77.2B_taxon,P77.2B,taxon,Insecta,include,True
P290.1A_taxon,P290.1A,taxon,Insecta,include,True
P290.1B_taxon,P290.1B,taxon,Insecta,include,True
P78.1A_taxon,P78.1A,taxon,Insecta,include,True
P78.1B_taxon,P78.1B,taxon,Insecta,include,True
P290.2A_taxon,P290.2A,taxon,Insecta,include,True
P290.2B_taxon,P290.2B,taxon,Insecta,include,True
P78.2A_taxon,P78.2A,taxon,Insecta,include,True
P78.2B_taxon,P78.2B,taxon,Insecta,include,True
P79.1A_taxon,P79.1A,taxon,Insecta,include,True
P79.1B_taxon,P79.1B,taxon,Insecta,include,True
P79.2A_taxon,P79.2A,taxon,Insecta,include,True
P79.2B_taxon,P79.2B,taxon,Insecta,include,True
P80.1A_taxon,P80.1A,taxon,Insecta,include,True
P80.1B_taxon,P80.1B,taxon,Insecta,include,True
P80.2A_taxon,P80.2A,taxon,Insecta,include,True
P80.2B_taxon,P80.2B,taxon,Insecta,include,True
P81.1A_taxon,P81.1A,taxon,Insecta,include,True
P81.1B_taxon,P81.1B,taxon,Insecta,include,True
P295.1A_taxon,P295.1A,taxon,Insecta,include,True
P295.1B_taxon,P295.1B,taxon,Insecta,include,True
P81.2A_taxon,P81.2A,taxon,Insecta,include,True
P81.2B_taxon,P81.2B,taxon,Insecta,include,True
P297.1A_taxon,P297.1A,taxon,Insecta,include,True
P297.1B_taxon,P297.1B,taxon,Insecta,include,True
P82.1A_taxon,P82.1A,taxon,Insecta,include,True
P82.1B_taxon,P82.1B,taxon,Insecta,include,True
P297.2A_taxon,P297.2A,taxon,Insecta,include,True
P297.2B_taxon,P297.2B,taxon,Insecta,include,True
P82.2A_taxon,P82.2A,taxon,Insecta,include,True
P82.2B_taxon,P82.2B,taxon,Insecta,include,True
P298.1A_taxon,P298.1A,taxon,Insecta,include,True
P298.1B_taxon,P298.1B,taxon,Insecta,include,True
P83.1A_taxon,P83.1A,taxon,Insecta,include,True
P83.1B_taxon,P83.1B,taxon,Insecta,include,True
P83.2A_taxon,P83.2A,taxon,Insecta,include,True
P83.2B_taxon,P83.2B,taxon,Insecta,include,True
P84.1A_taxon,P84.1A,taxon,Insecta,include,True
P84.1B_taxon,P84.1B,taxon,Insecta,include,True
P84.2A_taxon,P84.2A,taxon,Insecta,include,True
